query_key,category,scenario,endpoint,symbol_type,indicator_id,req_unique_id,attrs_json,time_range_json,template,periods,metric_name,english_name,description,aliases,is_interval_metric,period_values_json,exchange,access_guide
exercise_frequency|行权频率|Exercise Frequency,security,metric_lookup,snapshot,market_code,exercise_frequency,exercise_frequency,{},{},stock-detail.json,snapshot,行权频率,Exercise Frequency,“行权频率” 指在附有期权条款的金融工具（如可赎回债券、可回售债券、可转债等）中，期权持有人（发行人对应赎回权，投资者对应回售权或转股权）被允许行使该期权的周期性时间安排。它定义了在首个行权日之后，该期权可以被重复行使的时间间隔规律（例如“每年一次”、“每半年一次”、“仅在到期日”等）。该频率是期权条款的核心组成部分，直接影响期权的时间价值和金融工具的现金流模式，频率越高通常意味着权利方有更多的机会根据市场变化作出决策，从而影响工具的定价风险和投资策略。,,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
sec_type_en|证券类型_英文|Crypto Slug(En),security,metric_lookup,snapshot,market_code,sec_type_en,sec_type_en,{},{},stock-detail.json,snapshot,证券类型_英文,Crypto Slug(En),证券主体类别，英文名称,,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
trade_currency|交易币种|Trade Currency,security,metric_lookup,snapshot,market_code,trade_currency,trade_currency,{},{},stock-detail.json,snapshot,交易币种,Trade Currency,用于交易的标的货币或计价单位,,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
per_share_dividend_factor|每股分红(复权)|Adjusted Dividend Per Share,security,metric_lookup,series,market_code,per_share_dividend_factor,per_share_dividend_factor,{},"{""type"":""begin_end"",""begin_time"":1786579200000,""end_time"":0,""time_period"":""quarter_1""}",series-etf-30d.json,snapshot;quarter_1,每股分红(复权),Adjusted Dividend Per Share,每股分红（复权）是指在考虑了股票复权调整后的每股分红金额。它能够更准确地反映股东在持有股票期间实际获得的分红收益，同时考虑了股票价格在分红后的变化情况。,,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F","STANDARD_SNAPSHOT,STANDARD_SERIES_TIME_RANGE_BEGIN_END"
financial_year|财报年度|Accounting Year,security,metric_lookup,snapshot,market_code,financial_year,financial_year,{},{},stock-detail.json,snapshot;quarter,财报年度,Accounting Year,是指企业或组织用于编制和报告其财务信息的时间区间。这个时间区间通常与企业的会计年度一致，是企业进行财务核算和报告的基础时间单位。,,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
financial_period|财报报告期|Latest Earnings Period,security,metric_lookup,snapshot,market_code,financial_period,financial_period,{},{},stock-detail.json,snapshot;quarter,财报报告期,Latest Earnings Period,"指企业编制和披露财务报表所涵盖的具体时间范围。
596001:年报、596002:中报、596003:一季报(度)、596004:二季度、596005:三季度、596006:四季度、596007:三季报、596008:其他",,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
actual_revenue_quarter|实际营业收入(单季度)|Actual Operating Revenue (Quarter),security,metric_lookup,series,market_code,actual_revenue_quarter,actual_revenue_quarter,"{""time_period"":{""children"":null,""default"":""quarter"",""enum_options"":[{""label"":""quarter"",""value"":""quarter""}],""example"":""quarter"",""name"":""time_period"",""query_type"":""enum"",""required"":""1"",""source"":""table""}}","{""type"":""begin_end"",""begin_time"":1786579200000,""end_time"":0,""time_period"":""quarter""}",series-etf-30d.json,quarter,实际营业收入(单季度),Actual Operating Revenue (Quarter),主要用于ainvest 盈利预测中 预测值 与 实际值进行对比 该实际值与实际公告公布的存在出入,,false,"[""quarter""]","UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SERIES_TIME_RANGE_BEGIN_END
financial_disclose_time_slot|财报披露时间段|Announcement Time Slot,security,metric_lookup,snapshot,market_code,financial_disclose_time_slot,financial_disclose_time_slot,{},{},stock-detail.json,snapshot;quarter,财报披露时间段,Announcement Time Slot,指上市公司或企业在规定的时间内，向投资者、监管机构等披露其财务报告的时间范围。,,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
actual_eps_quarter|实际每股收益(单季度)|Actual Earnings per Share (Quarter),security,metric_lookup,series,market_code,actual_eps_quarter,actual_eps_quarter,"{""time_period"":{""children"":null,""default"":""quarter"",""enum_options"":[{""label"":""quarter"",""value"":""quarter""}],""example"":""quarter"",""name"":""time_period"",""query_type"":""enum"",""required"":""1"",""source"":""table""}}","{""type"":""begin_end"",""begin_time"":1786579200000,""end_time"":0,""time_period"":""quarter""}",series-etf-30d.json,quarter,实际每股收益(单季度),Actual Earnings per Share (Quarter),主要用于ainvest 盈利预测中 预测值 与 实际值进行对比 该实际值与实际公告公布的存在出入,,false,"[""quarter""]","UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SERIES_TIME_RANGE_BEGIN_END
forecast_revenue_quarter|预测营业收入(单季度)|Average Revenue Estimate (Quarter),security,metric_lookup,series,market_code,forecast_revenue_quarter,forecast_revenue_quarter,"{""time_period"":{""children"":null,""default"":""quarter"",""enum_options"":[{""label"":""quarter"",""value"":""quarter""}],""example"":""quarter"",""name"":""time_period"",""query_type"":""enum"",""required"":""1"",""source"":""table""}}","{""type"":""begin_end"",""begin_time"":1786579200000,""end_time"":0,""time_period"":""quarter""}",series-etf-30d.json,quarter,预测营业收入(单季度),Average Revenue Estimate (Quarter),"财务预测Revenue（营业收入）平均值是指分析师或机构对公司未来某个时间段内营业收入的平均预期值。这个值通常是基于公司过去的营业收入表现、行业趋势、经济环境等因素进行估算的。
财务预测Revenue平均值的含义可以理解为市场对公司未来营业收入增长的预期。如果预测的Revenue平均值较高，可能意味着分析师对公司未来的业务表现持乐观态度，认为公司有能力增加营业收入。反之，如果预测的Revenue平均值较低，可能表示分析师对公司的业务前景持谨慎态度。
这种预期值对投资者和金融机构等市场参与者来说是重要的参考指标，可以帮助他们评估公司的价值和未来发展潜力，从而做出投资决策。",,false,"[""quarter""]","UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SERIES_TIME_RANGE_BEGIN_END
