event_id,english_name,chinese_name,date_range,source_section
BTC_2008.10.31-2012.11.28,Founding and Early Development Phase,创立与早期发展阶段,2008.10.31-2012.11.28,1.2.1 Bitcoin Movement 2008.10.31-2025.01-31
BTC_2012.11.28-2016.07.09,Initial Market Recognition and Price Volatility Phas,市场初步认可伴随价格波动,2012.11.28-2016.07.09,1.2.1 Bitcoin Movement 2008.10.31-2025.01-31
BTC_2016.07.09-2017.12.17,Scaling Controversy and Fork Phase,扩容争议与分叉阶段,2016.07.09-2017.12.17,1.2.1 Bitcoin Movement 2008.10.31-2025.01-31
BTC_2017.12.17-2020.05.11,Bear Market Correction and Market Maturation Phase,熊市回调期和市场成熟阶段,2017.12.17-2020.05.11,1.2.1 Bitcoin Movement 2008.10.31-2025.01-31
BTC_2020.05.11-2021.11.10,Institutional Entry and New Highs Phase,机构入场伴随市场新高,2020.05.11-2021.11.10,1.2.1 Bitcoin Movement 2008.10.31-2025.01-31
BTC_2021.11.10-2024.04.19,Market Correction and Policy Impact Phase,市场调整与政策影响阶段,2021.11.10-2024.04.19,1.2.1 Bitcoin Movement 2008.10.31-2025.01-31
BTC_2024.04.19-2025.01.31,Halving Anticipation and Trump's Government Policy,减半预期与特朗普政府的政策,2024.04.19-2025.01.31,1.2.1 Bitcoin Movement 2008.10.31-2025.01-31
GFC_2007.02.13-2007.12.15,Emergence of Subprime Mortgage Crisis,次贷危机的出现,2007.02.13-2007.12.15,1.2.2 Global Financial Crisis 2007.02.13-2010.12.31
GFC_2008.03.01-2008.09.14,Outbreak of Financial Institutions Crisis,金融机构爆发危机,2008.03.01-2008.09.14,1.2.2 Global Financial Crisis 2007.02.13-2010.12.31
GFC_2008.09.15-2008.12.31,Full-Blown Financial Market Crisis,全面的金融市场危机,2008.09.15-2008.12.31,1.2.2 Global Financial Crisis 2007.02.13-2010.12.31
GFC_2008.11.25-2010.03.31,QE Period1,第一阶段量化宽松政策,2008.11.25-2010.03.31,1.2.2 Global Financial Crisis 2007.02.13-2010.12.31
GFC_2009.04.01-2010.12.31,Economic Recession and Recovery Phase,经济衰退和随后的修复阶段,2009.04.01-2010.12.31,1.2.2 Global Financial Crisis 2007.02.13-2010.12.31
GFC_2010.11.04-2011.06.30,QE Period2,第二阶段量化宽松政策,2010.11.04-2011.06.30,1.2.2 Global Financial Crisis 2007.02.13-2010.12.31
GFC_2012.09.13-2014.10.29,QE Period3,第三阶段量化宽松政策,2012.09.13-2014.10.29,1.2.2 Global Financial Crisis 2007.02.13-2010.12.31
GFC_2007.02.13-2014.10.29,whole period trend,完整阶段趋势,2007.02.13-2014.10.29,1.2.2 Global Financial Crisis 2007.02.13-2010.12.31
EDC_2009.10.04-2010.04.23,Emergence of the Crisis,危机的出现,2009.10.04-2010.04.23,1.2.4 The European Debt Crisis 2009.10.04-2011.11.21
EDC_2010.04.27-2011.11.21,Spread of the Crisis,危机的扩散,2010.04.27-2011.11.21,1.2.4 The European Debt Crisis 2009.10.04-2011.11.21
FedRateHike_2015.12.06-2016.12.14,2015 Interest Rate Hike Cycle : The initiation stage,2015加息周期：启动阶段,2015.12.06-2016.12.14,1.2.5 The Fed's Interest Rate Hiking Cycle P1: 2015.12.16-2018.12.19 & P2:2022.3.17-2023.7.27 (调整）
